Economy,Global rank,Starting a business,Dealing with construction permits,Getting electricity,Registering property,Getting credit,Protecting minority investors,Paying taxes,Trading across borders,Enforcing contracts,Resolving insolvency
Belarus,49.0,30.0,48.0,20.0,14.0,104.0,79.0,99.0,24.0,40.0,74.0
Montenegro,50.0,101.0,40.0,134.0,83.0,15.0,61.0,75.0,41.0,44.0,43.0
Croatia,51.0,114.0,150.0,37.0,38.0,104.0,37.0,49.0,1.0,27.0,63.0
Hungary,52.0,87.0,108.0,125.0,29.0,37.0,97.0,56.0,1.0,25.0,66.0
Morocco,53.0,43.0,16.0,34.0,81.0,119.0,37.0,24.0,58.0,60.0,73.0
Cyprus,54.0,50.0,125.0,75.0,71.0,80.0,21.0,29.0,50.0,142.0,31.0
Romania,55.0,91.0,147.0,157.0,46.0,25.0,61.0,32.0,1.0,19.0,56.0
Kenya,56.0,129.0,105.0,70.0,134.0,4.0,1.0,94.0,117.0,89.0,50.0
Kosovo,57.0,12.0,160.0,90.0,37.0,15.0,128.0,48.0,31.0,53.0,48.0
Italy,58.0,98.0,97.0,38.0,26.0,119.0,51.0,128.0,1.0,122.0,21.0
Chile,59.0,57.0,41.0,39.0,63.0,94.0,51.0,86.0,73.0,54.0,53.0
Mexico,60.0,107.0,93.0,106.0,105.0,11.0,61.0,120.0,69.0,43.0,33.0
Bulgaria,61.0,113.0,43.0,151.0,66.0,67.0,25.0,97.0,21.0,42.0,61.0
Saudi Arabia,62.0,38.0,28.0,18.0,19.0,80.0,3.0,57.0,86.0,51.0,168.0
India,63.0,136.0,27.0,22.0,154.0,25.0,13.0,115.0,68.0,163.0,52.0
Ukraine,64.0,61.0,20.0,128.0,61.0,37.0,45.0,65.0,74.0,63.0,146.0
Puerto Rico,65.0,59.0,143.0,92.0,161.0,4.0,88.0,163.0,70.0,70.0,10.0
Brunei Darussalam,66.0,16.0,54.0,31.0,144.0,1.0,128.0,90.0,149.0,66.0,59.0
Colombia,67.0,95.0,89.0,82.0,62.0,11.0,13.0,148.0,133.0,177.0,32.0
Oman,68.0,32.0,47.0,35.0,52.0,144.0,88.0,11.0,64.0,69.0,97.0
Uzbekistan,69.0,8.0,132.0,36.0,72.0,67.0,37.0,69.0,152.0,22.0,100.0
Vietnam,70.0,115.0,25.0,27.0,64.0,25.0,97.0,109.0,104.0,68.0,122.0
Jamaica,71.0,6.0,70.0,120.0,85.0,15.0,61.0,124.0,136.0,119.0,34.0
Luxembourg,72.0,76.0,14.0,45.0,93.0,176.0,97.0,23.0,1.0,18.0,93.0
Indonesia,73.0,140.0,110.0,33.0,106.0,48.0,37.0,81.0,116.0,139.0,38.0
Costa Rica,74.0,144.0,78.0,25.0,49.0,15.0,110.0,66.0,80.0,111.0,137.0
Jordan,75.0,120.0,138.0,69.0,78.0,4.0,105.0,62.0,75.0,110.0,112.0
Peru,76.0,133.0,65.0,88.0,55.0,37.0,45.0,121.0,102.0,83.0,90.0
Qatar,77.0,108.0,13.0,49.0,1.0,119.0,157.0,3.0,101.0,115.0,123.0
Tunisia,78.0,19.0,32.0,63.0,94.0,104.0,61.0,108.0,90.0,88.0,69.0
Greece,79.0,11.0,86.0,40.0,156.0,119.0,37.0,72.0,34.0,146.0,72.0
Kyrgyztan,80.0,42.0,90.0,143.0,7.0,15.0,128.0,117.0,89.0,134.0,78.0
Mongolia,81.0,100.0,29.0,152.0,50.0,25.0,25.0,71.0,143.0,75.0,150.0
Albania,82.0,53.0,166.0,107.0,98.0,48.0,111.0,123.0,25.0,120.0,39.0
Kuwait,83.0,82.0,68.0,66.0,45.0,119.0,51.0,6.0,162.0,74.0,115.0
South Africa,84.0,139.0,98.0,114.0,108.0,80.0,13.0,54.0,145.0,102.0,68.0
Zambia,85.0,117.0,67.0,129.0,149.0,4.0,72.0,17.0,155.0,130.0,79.0
Panama,86.0,51.0,100.0,51.0,87.0,25.0,88.0,176.0,59.0,141.0,113.0
Botswana,87.0,159.0,44.0,139.0,82.0,80.0,72.0,59.0,55.0,137.0,84.0
Malta,88.0,86.0,57.0,73.0,152.0,144.0,51.0,78.0,48.0,41.0,121.0
Bhutan,89.0,103.0,91.0,78.0,53.0,94.0,111.0,15.0,30.0,29.0,168.0
Bosnia and Herzegovina,90.0,184.0,173.0,74.0,96.0,67.0,88.0,141.0,27.0,93.0,37.0
El Salvador,91.0,148.0,168.0,87.0,79.0,25.0,140.0,70.0,46.0,126.0,92.0
San Marino,92.0,92.0,92.0,26.0,102.0,152.0,162.0,47.0,20.0,81.0,106.0
St. Lucia,93.0,69.0,38.0,56.0,107.0,165.0,79.0,84.0,93.0,79.0,131.0
Nepal,94.0,135.0,107.0,135.0,97.0,37.0,79.0,175.0,60.0,151.0,87.0
Philippines,95.0,171.0,85.0,32.0,120.0,132.0,72.0,95.0,113.0,152.0,65.0
Guatemala,96.0,99.0,118.0,46.0,89.0,15.0,153.0,104.0,82.0,176.0,157.0
Togo,97.0,15.0,127.0,99.0,56.0,48.0,120.0,174.0,131.0,140.0,88.0
Samoa,98.0,46.0,94.0,71.0,68.0,119.0,128.0,82.0,154.0,86.0,140.0
Sri Lanka,99.0,85.0,66.0,89.0,138.0,132.0,28.0,142.0,96.0,164.0,94.0
Seychelles,100.0,147.0,106.0,104.0,65.0,144.0,143.0,36.0,98.0,128.0,75.0
Uruguay,101.0,66.0,151.0,65.0,119.0,80.0,153.0,103.0,150.0,104.0,70.0
Fiji,102.0,163.0,102.0,97.0,57.0,165.0,97.0,101.0,79.0,101.0,98.0
Tonga,103.0,62.0,69.0,95.0,166.0,48.0,153.0,102.0,97.0,98.0,138.0
Namibia,104.0,165.0,84.0,76.0,173.0,80.0,88.0,88.0,138.0,64.0,127.0
Trinidad and Tobago,105.0,79.0,126.0,43.0,158.0,67.0,57.0,160.0,134.0,174.0,83.0
Tajikistan,106.0,36.0,137.0,163.0,77.0,11.0,128.0,139.0,141.0,76.0,153.0
Vanuatu,107.0,137.0,163.0,101.0,84.0,37.0,147.0,67.0,148.0,138.0,101.0
Pakistan,108.0,72.0,112.0,123.0,151.0,119.0,28.0,161.0,111.0,156.0,58.0
Malawi,109.0,153.0,128.0,171.0,90.0,11.0,79.0,135.0,127.0,149.0,134.0
Côte d'Ivoire,110.0,29.0,152.0,141.0,112.0,48.0,120.0,114.0,163.0,94.0,85.0
Dominica,111.0,71.0,83.0,57.0,179.0,152.0,79.0,83.0,91.0,95.0,136.0
Djibouti,112.0,123.0,87.0,121.0,117.0,132.0,103.0,133.0,147.0,144.0,44.0
Antigua and Barbuda,113.0,130.0,117.0,50.0,124.0,165.0,79.0,145.0,112.0,36.0,132.0
Egypt,114.0,90.0,74.0,77.0,130.0,67.0,57.0,156.0,171.0,166.0,104.0
Dominican Republic,115.0,112.0,80.0,116.0,74.0,119.0,143.0,150.0,66.0,133.0,124.0
Uganda,116.0,169.0,113.0,168.0,135.0,80.0,88.0,92.0,121.0,77.0,99.0
Palestine,117.0,173.0,148.0,86.0,91.0,25.0,114.0,112.0,54.0,123.0,168.0
Ghana,118.0,116.0,104.0,79.0,111.0,80.0,72.0,152.0,158.0,117.0,161.0
Bahamas,119.0,94.0,77.0,81.0,181.0,152.0,88.0,50.0,161.0,82.0,71.0
Papua New Guinea,120.0,142.0,122.0,118.0,127.0,48.0,72.0,118.0,125.0,173.0,144.0
Eswatini,121.0,155.0,96.0,132.0,104.0,94.0,162.0,73.0,35.0,172.0,117.0
Lesotho,122.0,84.0,165.0,158.0,114.0,94.0,147.0,110.0,40.0,99.0,126.0
Senegal,123.0,60.0,131.0,119.0,116.0,67.0,114.0,166.0,142.0,132.0,96.0
Brazil,124.0,138.0,170.0,98.0,133.0,104.0,61.0,184.0,108.0,58.0,77.0
Paraguay,125.0,160.0,75.0,109.0,80.0,132.0,143.0,126.0,128.0,72.0,105.0
Argentina,126.0,141.0,155.0,111.0,123.0,104.0,61.0,170.0,119.0,97.0,111.0
Iran,127.0,178.0,73.0,113.0,70.0,104.0,128.0,144.0,123.0,90.0,133.0
Barbados,128.0,102.0,153.0,117.0,118.0,152.0,136.0,96.0,132.0,170.0,35.0
Ecuador,129.0,177.0,114.0,100.0,73.0,119.0,114.0,147.0,103.0,96.0,160.0
St. Vincent and the Grenadines,130.0,93.0,51.0,105.0,168.0,165.0,79.0,100.0,81.0,61.0,168.0
Nigeria,131.0,105.0,55.0,169.0,183.0,15.0,28.0,159.0,179.0,73.0,148.0
Niger,132.0,56.0,180.0,159.0,115.0,48.0,120.0,169.0,126.0,114.0,114.0
Honduras,133.0,170.0,158.0,138.0,101.0,25.0,120.0,167.0,130.0,154.0,143.0
Guyana,134.0,111.0,167.0,170.0,128.0,94.0,88.0,122.0,151.0,92.0,163.0
Belize,135.0,166.0,123.0,91.0,137.0,173.0,157.0,60.0,114.0,135.0,91.0
Solomon Islands,136.0,110.0,172.0,112.0,155.0,104.0,136.0,41.0,160.0,157.0,145.0
Cabo Verde,137.0,121.0,50.0,154.0,69.0,144.0,170.0,87.0,109.0,52.0,168.0
Mozambique,138.0,176.0,61.0,103.0,136.0,165.0,147.0,127.0,94.0,168.0,86.0
St. Kitts and Nevis,139.0,109.0,58.0,110.0,185.0,165.0,103.0,125.0,71.0,49.0,168.0
Zimbabwe,140.0,167.0,140.0,167.0,109.0,67.0,97.0,146.0,159.0,169.0,142.0
Tanzania,141.0,162.0,149.0,85.0,146.0,67.0,105.0,165.0,182.0,71.0,116.0
Nicaragua,142.0,145.0,176.0,115.0,160.0,104.0,170.0,162.0,84.0,87.0,107.0
Lebanon,143.0,151.0,164.0,127.0,110.0,132.0,114.0,116.0,153.0,131.0,151.0
Cambodia,144.0,187.0,178.0,146.0,129.0,25.0,128.0,138.0,118.0,182.0,82.0
Palau,145.0,132.0,129.0,153.0,47.0,104.0,188.0,113.0,139.0,125.0,166.0
Grenada,146.0,89.0,130.0,93.0,147.0,152.0,105.0,143.0,137.0,80.0,168.0
Maldives,147.0,74.0,63.0,149.0,176.0,144.0,147.0,119.0,157.0,124.0,141.0
Mali,148.0,124.0,133.0,161.0,140.0,152.0,120.0,173.0,95.0,159.0,102.0
Benin,149.0,65.0,82.0,178.0,126.0,152.0,120.0,171.0,110.0,162.0,108.0
Bolivia,150.0,175.0,139.0,96.0,148.0,144.0,136.0,186.0,100.0,109.0,103.0
Burkina Faso,151.0,88.0,95.0,183.0,141.0,152.0,120.0,154.0,122.0,165.0,109.0
Mauritania,152.0,49.0,109.0,166.0,103.0,132.0,147.0,177.0,144.0,48.0,168.0
Marshall Islands,153.0,83.0,76.0,140.0,187.0,104.0,179.0,79.0,76.0,106.0,167.0
Laos,154.0,181.0,99.0,144.0,88.0,80.0,179.0,157.0,78.0,161.0,168.0
Gambia,155.0,119.0,145.0,165.0,143.0,152.0,170.0,172.0,115.0,129.0,128.0
Guinea,156.0,122.0,116.0,150.0,122.0,152.0,162.0,183.0,167.0,118.0,118.0
Algeria,157.0,152.0,121.0,102.0,165.0,181.0,179.0,158.0,172.0,113.0,81.0
Micronesia,158.0,174.0,136.0,122.0,187.0,104.0,185.0,111.0,65.0,184.0,125.0
Ethiopia,159.0,168.0,142.0,137.0,142.0,176.0,189.0,132.0,156.0,67.0,149.0
Comoros,160.0,158.0,101.0,136.0,113.0,132.0,162.0,168.0,120.0,179.0,168.0
Madagascar,161.0,80.0,182.0,186.0,164.0,132.0,140.0,134.0,140.0,136.0,135.0
Suriname,162.0,182.0,115.0,145.0,157.0,181.0,157.0,107.0,87.0,188.0,139.0
Sierra Leone,163.0,58.0,181.0,181.0,169.0,165.0,128.0,93.0,165.0,108.0,162.0
Kiribati,164.0,149.0,169.0,172.0,150.0,173.0,136.0,98.0,135.0,121.0,168.0
Myanmar,165.0,70.0,46.0,148.0,125.0,181.0,176.0,129.0,168.0,187.0,164.0
Burundi,166.0,44.0,161.0,184.0,100.0,176.0,143.0,140.0,169.0,158.0,147.0
Cameroon,167.0,104.0,154.0,133.0,175.0,80.0,157.0,181.0,186.0,167.0,129.0
Bangladesh,168.0,131.0,135.0,176.0,184.0,119.0,72.0,151.0,176.0,189.0,154.0
Gabon,169.0,96.0,141.0,164.0,171.0,132.0,170.0,182.0,170.0,180.0,130.0
São Tomé and Príncipe,170.0,150.0,111.0,130.0,172.0,165.0,179.0,137.0,124.0,185.0,168.0
Sudan,171.0,157.0,124.0,162.0,95.0,176.0,153.0,164.0,185.0,148.0,152.0
Iraq,172.0,154.0,103.0,131.0,121.0,186.0,111.0,131.0,181.0,147.0,168.0
Afghanistan,173.0,52.0,183.0,173.0,186.0,104.0,140.0,178.0,177.0,181.0,76.0
Guinea-Bissau,174.0,161.0,177.0,182.0,132.0,152.0,114.0,155.0,146.0,171.0,168.0
Liberia,175.0,75.0,185.0,175.0,180.0,104.0,176.0,76.0,184.0,175.0,110.0
Syria,176.0,143.0,186.0,160.0,162.0,176.0,97.0,91.0,178.0,160.0,158.0
Angola,177.0,146.0,120.0,156.0,167.0,185.0,147.0,106.0,174.0,186.0,168.0
Equatorial Guinea,178.0,183.0,162.0,155.0,163.0,132.0,162.0,179.0,175.0,105.0,168.0
Haiti,179.0,189.0,179.0,147.0,182.0,144.0,183.0,149.0,85.0,127.0,168.0
Congo,180.0,179.0,134.0,179.0,174.0,132.0,162.0,185.0,183.0,155.0,119.0
Timor-Leste,181.0,68.0,159.0,126.0,187.0,173.0,157.0,136.0,107.0,190.0,168.0
Chad,182.0,186.0,174.0,180.0,131.0,152.0,170.0,188.0,173.0,153.0,155.0
Congo DRC,183.0,54.0,144.0,177.0,159.0,152.0,176.0,180.0,187.0,178.0,168.0
Central African Republic,184.0,180.0,184.0,185.0,170.0,144.0,162.0,187.0,164.0,183.0,155.0
South Sudan,185.0,172.0,171.0,187.0,177.0,181.0,185.0,74.0,180.0,84.0,168.0
Libya,186.0,164.0,186.0,142.0,187.0,186.0,183.0,130.0,129.0,145.0,168.0
Yemen,187.0,156.0,186.0,187.0,86.0,186.0,162.0,89.0,188.0,143.0,159.0
Venezuela,188.0,190.0,175.0,174.0,145.0,132.0,170.0,189.0,188.0,150.0,165.0
Eritrea,189.0,185.0,186.0,187.0,178.0,186.0,185.0,153.0,188.0,107.0,168.0
Somalia,190.0,188.0,186.0,187.0,153.0,186.0,190.0,190.0,166.0,116.0,168.0
